Kıyamet günü suçlular yüzlerinin kara ve gözlerinin mavi olması gibi alametlerden tanınır. Perçemleri ayakları ile biraraya getirilip Cehennem'e atılırlar.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Azarlamak için onlara şöyle denilir: İşte bu dünyada iken günahkârların yalanladığı Cehennem'dir. Artık gözlerinin önündedir, onu inkâr edemezler.
Onlar Cehennem ve yüksek derecede kaynar su arasında gidip gelirler.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Ahirette Rabbinin huzurunda durmaktan korktuğu için iman eden ve salih amel işleyen kimse için iki Cennet vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Bu iki Cennet'te taze meyve veren büyük dalları olan ağaçlar vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
O iki Cennet boyunca suyu akıp giden iki pınar vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
İkisinde de ikram edilen her türlü meyveden çift çift vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Onlar örtüleri kalın ipekten minderlere yaslanırlar. Bu iki Cennet'te ayakta duran, oturan ve yaslanmış olanlar için olgunlaşmış meyve ve yemişleri toplaması çok yakındır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
O ikisinde, bakışlarını sadece eşlerine çevirmiş kadınlar vardır. Eşlerinden önce hiçbir insan ya da cin tarafından bekaretleri bozulmamıştır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Güzellik ve saflık bakımından sanki onlar yakut ve mercan gibidir.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Rabbine itaat edip salih amel işleyenin mükâfatı, Yüce Allah'ın ona karşılık olarak ihsanda bulunmasından başka bir şey midir?
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Bu zikredilen iki Cennet'ten başka iki Cennet daha vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
O ikisi de yemyeşildir.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Bu iki Cennet'te, suyu çağlayıp akan ve asla tükenmeyen iki pınar vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Bu iki Cennet'te de bol bol meyveler, büyük hurma ağaçları ve nar vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Bu Cennetler'de güzel ahlâklı, güzel yüzlü kadınlar vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Çadırlarda gizlenip korunmuş huriler vardır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Eşlerinden önce ne bir insan, ne de bir cin yaklaşmıştır.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Yeşil renkle döşenmiş yastık ve güzel döşemelere yaslanırlar.
O halde siz (insan ve cin topluluğu), Allah'ın size bahşettiği o bol nimetlerden hangisini yalanlıyorsunuz?
Azamet, ihsan ve kullarına lütufta bulunan Rabbinin ismi, hayrı çok ve yücedir.
